bonusPointsEarned,bonusPointsEarnedReason,pointsEarned,purchasedItemCount,rewardsReceiptStatus,totalSpent,userId,receiptId,rec_createDate,rec_ScannedDate,rec_finishedDate,rec_modifyDate,pointsAwardedDate,purchaseDate,receipt_ids
5.0,All-receipts receipt bonus,55.0,1.0,FINISHED,0.99,5ff36a3862fde912123a4460,5ff36ad40a7214ada1000585,1970-01-01 00:26:49.788116000,1970-01-01 00:26:49.788116000,1970-01-01 00:26:49.788116000,1970-01-01 00:26:49.788116000,1970-01-01 00:26:49.788116000,1970-01-01 00:26:49.788116000,58
5.0,All-receipts receipt bonus,5.0,1.0,FINISHED,9.99,5ff36d0362fde912123a5535,5ff36dcb0a7214ada10005a0,1970-01-01 00:26:49.788875000,1970-01-01 00:26:49.788875000,1970-01-01 00:26:49.788876000,1970-01-01 00:26:49.788876000,1970-01-01 00:26:49.788876000,1970-01-01 00:26:49.702475000,59
25.0,COMPLETE_NONPARTNER_RECEIPT,25.0,1.0,FINISHED,28.57,5c3388caea88e15513a95069,5ff3416d0a7214ada1000575,1970-01-01 00:26:49.777517000,1970-01-01 00:26:49.777517000,1970-01-01 00:26:49.777517000,1970-01-01 00:26:49.777517000,1970-01-01 00:26:49.777517000,1970-01-01 00:26:49.718400000,60
5.0,All-receipts receipt bonus,5.0,4.0,FINISHED,25.00,5ff4ce3dc3d63511e2a484dc,5ff4ce430a7214ada10005d8,1970-01-01 00:26:49.879107000,1970-01-01 00:26:49.879107000,1970-01-01 00:26:49.879108000,1970-01-01 00:26:49.879113000,1970-01-01 00:26:49.879108000,1970-01-01 00:26:49.804800000,61
150.0,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",150.0,5.0,FINISHED,27.00,5ff4ce3dc3d63511e2a484dc,5ff4ce400a7214ada10005d5,1970-01-01 00:26:49.879104000,1970-01-01 00:26:49.879104000,1970-01-01 00:26:49.879104000,1970-01-01 00:26:49.879109000,1970-01-01 00:26:49.879104000,1970-01-01 00:26:49.804800000,62
750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750.0,2.0,REJECTED,34.96,5fbc35711d967d1222cbfefc,5ff4a4ca0a7214ada10005d0,1970-01-01 00:26:49.868490000,1970-01-01 00:26:49.868490000,,1970-01-01 00:26:49.868492000,,1970-01-01 00:26:39.955200000,63
5.0,All-receipts receipt bonus,5.0,1.0,FINISHED,1.00,54943462e4b07e684157a532,5ff473de0a720f05230005bd,1970-01-01 00:26:49.855966000,1970-01-01 00:26:49.855966000,1970-01-01 00:26:49.855967000,1970-01-01 00:26:49.855967000,1970-01-01 00:26:49.855967000,1970-01-01 00:26:48.732766000,64
25.0,COMPLETE_NONPARTNER_RECEIPT,35.0,1.0,FINISHED,1.00,5ff4ce33c3d63511e2a484b6,5ff4ce8c0a7214ada10005e6,1970-01-01 00:26:49.879180000,1970-01-01 00:26:49.879180000,1970-01-01 00:26:49.879181000,1970-01-01 00:26:49.879186000,1970-01-01 00:26:49.879181000,1970-01-01 00:26:49.792780000,65
750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750.0,2.0,FINISHED,29.00,5ff4ce3dc3d63511e2a484dc,5ff4ce3d0a7214ada10005d3,1970-01-01 00:26:49.879101000,1970-01-01 00:26:49.879101000,1970-01-01 00:26:49.879102000,1970-01-01 00:26:49.879107000,1970-01-01 00:26:49.879102000,1970-01-01 00:26:49.804800000,66
45.0,COMPLETE_PARTNER_RECEIPT,50.0,1.0,FINISHED,1.00,5ff47392c3d63511e2a47881,5ff473b40a7214ada10005c5,1970-01-01 00:26:49.855924000,1970-01-01 00:26:49.855924000,1970-01-01 00:26:49.855924000,1970-01-01 00:26:49.855924000,1970-01-01 00:26:49.855924000,1970-01-01 00:26:49.769524000,67
750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1800.0,1.0,FINISHED,10.00,5ff473f3c1e2d0121a9b2707,5ff473f30a720f05230005c0,1970-01-01 00:26:49.855987000,1970-01-01 00:26:49.855987000,1970-01-01 00:26:49.855988000,1970-01-01 00:26:49.855988000,1970-01-01 00:26:49.855988000,1970-01-01 00:26:49.855987000,68
750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750.0,2.0,FINISHED,21.00,5ff4ce3ac1e2d0121a9b2fb3,5ff4ce3a0a7214ada10005d2,1970-01-01 00:26:49.879098000,1970-01-01 00:26:49.879098000,1970-01-01 00:26:49.879099000,1970-01-01 00:26:49.879103000,1970-01-01 00:26:49.879099000,1970-01-01 00:26:49.804800000,69
150.0,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",275.0,5.0,FINISHED,25.00,5ff47392c3d63511e2a47881,5ff473a90a7214ada10005c2,1970-01-01 00:26:49.855913000,1970-01-01 00:26:49.855913000,1970-01-01 00:26:49.855914000,1970-01-01 00:26:49.855914000,1970-01-01 00:26:49.855914000,1970-01-01 00:26:49.394400000,70
,,250.0,5.0,FINISHED,49.95,5ff47392c3d63511e2a47881,5ff473b10a7214ada10005c4,1970-01-01 00:26:49.855921000,1970-01-01 00:26:49.855921000,1970-01-01 00:26:49.855921000,1970-01-01 00:26:49.855921000,1970-01-01 00:26:49.855921000,1970-01-01 00:26:49.567200000,71
,,,,SUBMITTED,,5a43c08fe4b014fd6b6a0612,5ff475820a7214ada10005cf,1970-01-01 00:26:49.856386000,1970-01-01 00:26:49.856386000,,1970-01-01 00:26:49.856386000,,,0
